employer,role,dates,bullet_index,text,suggested_tags
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,1,Developed ETL and control systems using event-driven microservices and AWS IoT to mirror vehicle communication systems (CAN-style event buses).,AWS;ETL;Microservices;Event-driven
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,2,Integrated Linux-based agents for secure file transfer and telemetry processingconceptually similar to embedded ECU data logging.,Linux;Secure File Transfer;Telemetry;ECU Data Logging
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,3,Implemented encryption and key management protocols (AES-256) equivalent to secure OTA (Over-the-Air) data handling in vehicles.,AI;Encryption;AES-256;Key Management
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,4,Mentored engineers in modular design patterns analogous to AUTOSAR component design.,Modular;Modular Design;AUTOSAR;Component Design
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,5,"Developed cross-platform diagnostics and monitoring utilities in C#, Python, and shell scripting, handling multi-datacenter (multi-ECU-like) telemetry.",Python;Telemetry
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,6,Built network health monitoring dashboards akin to embedded diagnostics over CAN/Ethernet.,Dashboards;CAN
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,7,Delivered real-time reporting and data-integration software supporting critical decision systems with automotive-grade reliability.,Integration;BI;Reporting
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,8,"Led modernization of legacy ERP control systems using .NET and C++, focusing on modular reusability and hardware integration across multiple facilities.",.NET;Integration;BI;ERP
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,9,"Transitioned infrastructure to hybrid AWS/Linux environments, embedding power-mode control logic and telemetry akin to ECU energy-state transitions.",AWS;Linux;Telemetry
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,10,Coordinated with hardware and operations teams to synchronize software deployments with real-world system behaviors.,Deployments
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,11,"Designed Level-III certified payment-processing microservices in C# and C++, managing low-latency transaction routing comparable to embedded communication frameworks.",Microservices;C++
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,12,Implemented modular service orchestration similar to AUTOSAR layers for procurement and inventory systems.,Orchestration;Modular;AUTOSAR
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,13,Performed root-cause debugging across hardware interfaces and databasesexperience directly applicable to embedded diagnostics and SoC troubleshooting.,Automation;Hardware Integration;Real-time Data;ETL
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,14,"Led modernization of a large-scale distributed platform using service-oriented architecture, emphasizing modular integration similar to AUTOSAR stack decomposition.",Architecture;Integration;Scale;Modular
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,15,Implemented system-level observability and diagnostics frameworks comparable to SoC monitoring in QNX/Linux environments.,BI;Linux
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,16,"Designed and optimized CI/CD pipelines for cross-compiled binaries, using Jenkins, Docker, and AWS EC2, integrating automated static code analysis (SonarQube).",AWS;Jenkins;Docker;BI
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,17,"Collaborated across firmware, API, and UI teams to resolve communication-layer defects, using root-cause analysis techniques parallel to vehicle-bus debugging.",Automation;Hardware Integration;Real-time Data;ETL
BPM Software Solutions,Principle Consultant,Aug 2017 - Nov 2021,18,Drove test-driven development and continuous integration practices to achieve embedded-grade quality standards.,Integration
Edward Jones,Senior Application Architect / Platform Team Delivery Lead,2022–2024,0,"Led modernization of Edward Jones’ enterprise *Online Access* platform, **transitioning from legacy monoliths to microservices and micro-frontends** using **Java, Python, and AWS**.",AWS;Java;ERP;Python
Edward Jones,Senior Application Architect / Platform Team Delivery Lead,2022–2024,1,"Directed **cross-functional teams (web, mobile, API, mainframe)** across multiple delivery trains, implementing **continuous delivery pipelines** that reduced release time by 50%.",AI;BI
Edward Jones,Senior Application Architect / Platform Team Delivery Lead,2022–2024,2,"Established **technical delivery governance** — code quality metrics, automation standards, and DevOps maturity assessments across 13 Agile teams.",Automation;Agile;DevOps
Edward Jones,Senior Application Architect / Platform Team Delivery Lead,2022–2024,3,"Championed **architecture alignment and technical debt reduction**, driving standardization across cloud environments and improving developer velocity.",Architecture;Cloud
Edward Jones,Senior Application Architect / Platform Team Delivery Lead,2022–2024,4,"Partnered with **product and platform leadership** to define modernization OKRs, resulting in measurable improvements in throughput, reliability, and built-in quality.",BI;Leadership
Edward Jones,Senior Application Architect / Platform Team Delivery Lead,2022–2024,5,"Mentored technical leads and engineering managers, fostering a culture of collaboration, continuous improvement, and architectural integrity.",Continuous Improvement
BPM Software Solutions,Senior Software Architect / Engineering Lead,2017–2021,0,"Spearheaded **cloud-first modernization initiatives** for financial and healthcare clients, transitioning legacy ERP and reporting systems to **Azure and AWS** platforms.",AWS;Azure;Cloud;Healthcare
BPM Software Solutions,Senior Software Architect / Engineering Lead,2017–2021,1,"Designed and implemented **scalable, distributed architectures** using **Python, Node.js, React, and serverless components**, aligning engineering outcomes with business KPIs.",React;Architecture;Python;Scalable
BPM Software Solutions,Senior Software Architect / Engineering Lead,2017–2021,2,"Built and led **multi-team engineering environments**, implementing **Agile/DevOps practices** (continuous testing, containerization, and IaC via Terraform).",AI;Agile;Terraform;DevOps
BPM Software Solutions,Senior Software Architect / Engineering Lead,2017–2021,3,Established **software delivery playbooks** and reusable CI/CD modules that accelerated project onboarding and reduced deployment friction.,CI/CD;CI/CD
BPM Software Solutions,Senior Software Architect / Engineering Lead,2017–2021,4,"Championed **team growth through mentorship**, establishing technical workshops and upskilling programs on modern stacks and security-by-design principles.",Security
Interactive Business Solutions,Senior Software Engineering Consultant,2016–2017,0,"Directed technical design and delivery for enterprise integration projects linking **CRM, LMS, and ERP platforms**, resulting in 300% improvement in processing efficiency.",Integration;ERP
Interactive Business Solutions,Senior Software Engineering Consultant,2016–2017,1,"Designed **web-based financial and compliance solutions** integrating with **AWS** and **Salesforce APIs**, setting early standards for secure, cloud-ready architectures.",AWS;Architecture;Cloud;APIs
Interactive Business Solutions,Senior Software Engineering Consultant,2016–2017,2,"Mentored developers in Agile story decomposition, code review, and sprint execution practices.",Agile
Interactive Business Solutions,Senior Software Engineering Consultant,2016–2017,3,"Engineered multi-system integrations (CRM, LMS, ERP) that increased month-end productivity 300 %.",Integration;ERP;Integrations
Interactive Business Solutions,Senior Software Engineering Consultant,2016–2017,4,"Built AWS-hosted CI/CD workflows for financial reporting systems, evolving toward trunk-based branching for faster client deliverables.",AWS;CI/CD;Financial Reporting;Reporting
Interactive Business Solutions,Senior Software Engineering Consultant,2016–2017,5,Mentored developers on automation and continuous testing practices to maintain production quality at speed.,AI;Automation
Soave Enterprises,Technology Manager / Software Architect,2015–2016,0,"Modernized enterprise infrastructure across 25 U.S. facilities, implementing **hybrid-cloud architecture on AWS EC2** to replace aging on-prem systems.",AWS;Architecture;Cloud;ERP
Soave Enterprises,Technology Manager / Software Architect,2015–2016,1,"Introduced **DevOps and CI/CD pipelines**, automating release workflows and infrastructure provisioning.",CI/CD;DevOps;CI/CD
Soave Enterprises,Technology Manager / Software Architect,2015–2016,2,"Partnered with executive stakeholders to develop modernization roadmaps balancing innovation, cost, and scalability.",BI;Innovation
Soave Enterprises,Technology Manager / Software Architect,2015–2016,3,"Directed modernization of enterprise infrastructure across 25 U.S. locations, migrating to hybrid AWS EC2 cloud.",AWS;Cloud;ERP;EC2
Soave Enterprises,Technology Manager / Software Architect,2015–2016,4,"Introduced DevOps automation and early CI/CD pipelines, establishing repeatable build/test/deploy flows.",Automation;CI/CD;DevOps;CI/CD
Soave Enterprises,Technology Manager / Software Architect,2015–2016,5,Laid the groundwork for trunk-based development by implementing shared mainline branching and continuous integration for distributed teams.,AI;Integration
John Deere Landscapes,Software Development Lead / Solution Architect,2010–2015,0,Led development and modernization of enterprise-scale ERP systems supporting over 400 retail sites in North America.,AI;Scale;ERP
John Deere Landscapes,Software Development Lead / Solution Architect,2010–2015,1,"Oversaw migration to **Microsoft Dynamics AX**, integrating modular components for procurement, finance, and logistics.",Modular;Microsoft Dynamics AX;Microsoft Dynamics AX
John Deere Landscapes,Software Development Lead / Solution Architect,2010–2015,2,"Introduced **engineering governance standards**, code reviews, and TDD practices that improved quality and reduced production defects.",TDD;Code Reviews
John Deere Landscapes,Software Development Lead / Solution Architect,2010–2015,3,Led modernization of proprietary ERP system used by 400+ retail stores.,AI;ERP
John Deere Landscapes,Software Development Lead / Solution Architect,2010–2015,4,"Introduced automated build pipelines, unit-test enforcement, and continuous integration, paving the cultural path toward trunk-based development long before mainstream adoption.",AI;Integration
John Deere Landscapes,Software Development Lead / Solution Architect,2010–2015,5,"Oversaw transition to Microsoft Dynamics AX 2012 R2, incorporating modular architecture and early DevOps principles.",Architecture;Modular;DevOps;Microsoft Dynamics AX
Snap-On Technologies,Senior Software Engineer,2000 – 2006,0,"Invented a data-driven orchestration framework for ECM communication on vehicle networks, enabling adaptive protocol handling across J1850-VPW, PWM, J1939, CAN/GM LAN, and ISO standards.",Orchestration;ECM Communication;J1850;J1939
Snap-On Technologies,Senior Software Engineer,2000 – 2006,1,Designed a dynamic diagnostic communication module capable of learning and adapting to new OEM protocols without reengineering core components.,Embedded Systems;Vehicle Diagnostics;Data-Driven Architecture;ECM Communication
Snap-On Technologies,Senior Software Engineer,2000 – 2006,2,"Developed calibration and service applications used by ISUZU, Harley-Davidson, Freightliner, Detroit Diesel, Mac, Eaton, and Penske, improving diagnostic accuracy and time-to-market for new vehicle platforms.",Embedded Systems;Vehicle Diagnostics;Data-Driven Architecture;ECM Communication
Snap-On Technologies,Senior Software Engineer,2000 – 2006,3,Collaborated with embedded firmware engineers and field technicians to validate communication layers over the 9-pin Deutsch vehicle interface and OBD-II connectors.,Embedded Systems;Vehicle Diagnostics;Data-Driven Architecture;ECM Communication
Compuware,Senior Software Developer,2006 – 2010,0,"Developed enterprise QA automation and load-testing frameworks (QALoad, QADirector) for large-scale clients including Ford, GM, Blue Cross Blue Shield, and EDS, improving reliability and scalability of distributed systems.",Scale;Automation;BI;ERP
Compuware,Senior Software Developer,2006 – 2010,1,"Engineered E2E test automation frameworks in C++ and Java, integrating performance testing directly into early DevOps pipelines.",Java;Automation;C++;DevOps
Compuware,Senior Software Developer,2006 – 2010,2,"Collaborated with product and QA teams to design automated defect-tracking systems, optimizing regression cycles and standardizing test execution across enterprise environments.",ERP
Compuware,Senior Software Developer,2006 – 2010,3,"Contributed to internal tooling for performance benchmarking, which later influenced commercial QA product lines adopted globally.",QA Automation;Performance Testing;E2E Frameworks;DevOps
CGI – Daugherty / Edward Jones,Principal Consultant / Platform Team Delivery Lead – Digital Client Experience,2021–2024,0,"Led modernization of the Online Access platform, transitioning from monolithic architecture to cloud-native microservices and micro-frontends using Java, Spring Boot, and Angular.",Java;Architecture;Cloud;Microservices
CGI – Daugherty / Edward Jones,Principal Consultant / Platform Team Delivery Lead – Digital Client Experience,2021–2024,1,"Drove CI/CD platform maturity, evolving Azure DevOps pipelines into trunk-based development workflows supporting 13 Agile teams across web, API, mobile, and mainframe domains.",Azure;AI;BI;Agile
CGI – Daugherty / Edward Jones,Principal Consultant / Platform Team Delivery Lead – Digital Client Experience,2021–2024,2,"Implemented feature-flag release strategies, short-lived branches, and automated test gates, enabling independent deployments and 50 % faster release cycles.",Deployments
CGI – Daugherty / Edward Jones,Principal Consultant / Platform Team Delivery Lead – Digital Client Experience,2021–2024,3,"Instituted Delivery Excellence workshops on value-stream mapping, continuous integration health checks, and test-driven development.",Integration
CGI – Daugherty / Edward Jones,Principal Consultant / Platform Team Delivery Lead – Digital Client Experience,2021–2024,4,"Partnered with engineering managers to standardize observability (Dynatrace, Splunk) and delivery governance across trains.",AI;BI;Dynatrace
Daugherty – Cox Communications,Platform Architect – Cloud Infrastructure & Automation,2021–2024,0,Architected and deployed CI/CD pipelines in GitHub Actions for API Gateway and AWS Lambda microservices using Terraform-based IaC modules.,AWS;CI/CD;Terraform;Lambda
Daugherty – Cox Communications,Platform Architect – Cloud Infrastructure & Automation,2021–2024,1,"Transitioned teams from manual staging branches to trunk-based continuous integration, integrating linting, IaC validation, and security scans into the mainline workflow.",AI;Integration;Security;CAN
Daugherty – Cox Communications,Platform Architect – Cloud Infrastructure & Automation,2021–2024,2,Designed rollback workflows leveraging Terraform state management for fault-tolerant releases.,Terraform;RAG
Daugherty – Cox Communications,Platform Architect – Cloud Infrastructure & Automation,2021–2024,3,Orchestrated KeeperSecurity-managed key rotation and encryption automation through Bitbucket pipelines to enforce DevSecOps standards.,Automation;BI;Encryption;Security
Daugherty – Cox Communications,Platform Architect – Cloud Infrastructure & Automation,2021–2024,4,Reduced deployment friction across environments and achieved 100 % parity between staging and production builds.,AWS Lambda;API Gateway;Terraform;GitHub Actions
